LONG_EAST,LAT_NORTH,TOPOGRAPHY,MOLArange,planet_rad,c,A,Ephermis Time,UTC,Orbit
186.60503,0.79822,-2323.65031,389867.57460,3392577.54181,1.25200,0.00000,10317863.66389,1999-10-27T04:09:07.920,15032.48000
186.61502,0.83872,-2319.07999,389887.03148,3392579.40121,1.25969,0.00000,10295616.83540,1999-11-30T01:54:35.686,15019.72677
186.62500,0.69007,-2301.42288,389796.67826,3392594.41717,1.23257,0.00000,10395884.75838,1999-07-05T02:54:44.976,15038.08920
186.63501,0.79288,-2327.15077,389900.59707,3392568.13746,1.20915,0.00000,10612143.05694,2000-09-08T15:56:34.964,15071.26870
186.64500,0.97196,-2352.90827,389985.77907,3392537.30779,1.22415,0.00000,10514342.58550,1999-05-19T21:08:58.185,15051.76645
186.65498,1.01565,-2362.70028,390063.32233,3392526.22596,1.22712,0.00000,10628093.27143,2000-01-10T04:15:22.626,15073.86872
186.66500,1.15288,-2382.76270,390151.98815,3392504.35374,1.22974,0.00000,10695388.64993,1999-09-30T10:58:55.286,15083.36831
186.67500,1.12159,-2366.14172,390137.29219,3392521.75592,1.25272,0.00000,10687804.83921,1999-06-25T08:37:58.693,15078.96369
186.68499,1.11371,-2368.54615,390146.05161,3392521.36189,1.22542,0.00000,10723529.68203,1999-04-11T08:26:10.608,15083.76293
186.69501,0.97308,-2374.52675,390032.80482,3392521.59228,1.23426,0.00000,10474369.47019,1999-03-11T00:18:59.972,15054.12335
186.70502,1.07837,-2370.71903,390118.18601,3392513.80207,1.21709,0.00000,10451982.48594,1999-05-08T01:38:33.787,15043.15975
186.71500,1.07509,-2347.97154,390100.57408,3392530.52876,1.20408,0.00000,10501714.04952,1999-11-30T01:54:20.885,15050.84962
186.72500,1.12624,-2368.42571,390118.85040,3392509.61893,1.21518,0.00000,10310865.54563,1999-03-25T09:31:30.427,15030.18489
186.73500,1.04826,-2368.77666,390104.61871,3392509.99258,1.21831,0.00000,10486368.82165,1999-06-15T14:20:28.122,15093.21759
186.74498,1.12027,-2374.45193,390165.10454,3392506.93537,1.24259,0.00000,10597283.45319,1999-03-25T09:31:27.427,15109.14827
186.75500,1.16492,-2376.36318,390165.38328,3392507.19785,1.25018,0.00000,10457824.72110,2000-01-17T08:50:32.760,15089.18629
186.76499,1.20605,-2393.69002,390181.14650,3392493.66439,1.23088,0.00000,10407438.24117,1999-07-31T20:03:11.688,15088.00251
186.77499,1.11226,-2390.81050,390184.62432,3392498.89103,1.24512,0.00000,10666668.54053,1999-10-07T15:34:12.665,15118.44035
186.78501,1.17380,-2399.08618,390251.08973,3392490.13946,1.25801,0.00000,10660974.52191,1999-05-05T11:56:08.107,15120.83915
186.79499,1.14043,-2399.17617,390213.34398,3392490.90436,1.26274,0.00000,10515724.88992,2000-12-04T11:44:48.016,15099.79221
186.80497,1.14476,-2418.30221,390090.60933,3392471.75924,1.25916,0.00000,10425162.26034,1999-08-22T09:49:15.103,15083.60411
186.81498,1.03014,-2406.51750,390028.62568,3392482.09561,1.24541,0.00000,10527787.62149,1999-03-18T04:55:00.451,15098.98813
186.82502,1.01413,-2399.98614,390045.99416,3392485.96792,1.24448,0.00000,10608171.91520,1999-07-26T16:39:55.980,15110.08149
186.83502,1.04718,-2411.20409,390030.97233,3392475.98771,1.22375,0.00000,10379801.45545,1999-08-24T23:31:13.548,15080.76466
186.84499,0.91932,-2400.83221,389998.53614,3392491.31830,1.23308,0.00000,10206183.16131,1999-12-31T09:58:09.324,15059.20521
186.85501,0.83869,-2373.93816,389871.81006,3392522.96193,1.25663,0.00000,10141456.03878,1999-11-20T07:37:04.826,15043.81425
186.86499,0.88147,-2367.28247,389934.90650,3392530.88497,1.25911,0.00000,10094415.96400,1999-03-25T09:31:09.526,15036.58263
186.87500,0.80725,-2358.05075,390021.95392,3392545.95608,1.25563,0.00000,10264421.10650,1999-11-20T07:37:01.825,15063.62929
186.88500,0.73222,-2341.34360,389858.69322,3392563.44445,1.24500,0.00000,10110737.47224,2000-05-12T23:44:33.286,15041.72465
186.89501,0.73963,-2323.10883,389903.02328,3392578.58308,1.26298,0.00000,10047718.23027,2000-02-03T07:42:53.108,15029.93849
186.90501,0.62336,-2296.36727,389682.86938,3392604.31364,1.26890,0.00000,10098010.49858,2000-03-30T07:42:32.398,15037.00332
186.91500,0.54179,-2283.43088,389605.61417,3392613.92458,1.29317,0.00000,10232073.48908,1999-03-11T00:18:26.870,15059.23696
186.92499,0.53711,-2284.76396,389593.41706,3392611.14914,1.26696,0.00000,10241786.32021,1999-06-29T23:30:46.370,15060.69344
186.93497,0.51612,-2259.84399,389686.28306,3392638.55790,1.28592,0.00000,10314390.13152,1999-05-19T21:08:14.883,15067.94208
186.94502,0.53261,-2266.07209,389635.53391,3392637.52008,1.26659,0.00000,10532457.24435,2000-02-05T21:24:05.089,15101.87019
186.95500,0.54931,-2274.77343,389697.62364,3392628.73767,1.27556,0.00000,10584051.48825,1999-06-13T00:38:37.179,15109.21217
186.96499,0.50836,-2269.27154,389591.01871,3392637.95609,1.26939,0.00000,10643157.13340,1999-12-14T11:04:47.703,15114.40316
186.97498,0.50675,-2264.71899,389594.84320,3392639.95980,1.26818,0.00000,10597726.54357,1999-10-24T14:26:48.338,15117.35659
186.98503,0.52527,-2265.55496,389660.07563,3392637.93160,1.24159,0.00000,10676163.03654,2000-09-01T11:19:34.518,15119.33224
186.99499,0.58686,-2258.72253,389675.51818,3392641.69754,1.28262,0.00000,10770696.18830,1999-09-30T10:58:06.484,15132.59238
187.00501,0.50485,-2263.93981,389601.99574,3392637.86052,1.25620,0.00364,10678810.07652,1999-11-20T07:36:42.325,15119.84329
187.01500,0.50918,-2263.58798,389640.46775,3392634.62268,1.24973,0.02515,10768451.97650,1999-05-08T01:37:47.385,15135.55195
187.02499,0.50125,-2228.54505,389602.69718,3392660.42593,1.26042,0.00549,10643102.85362,1999-06-05T20:02:33.852,15087.23116
187.03502,0.48523,-2210.28933,389657.41584,3392675.19250,1.24269,0.00000,10832077.93464,1999-03-01T06:00:12.429,15095.80921
187.04500,0.66013,-2247.42955,389617.45667,3392645.32525,1.21434,0.00000,10874994.98499,1999-12-17T00:46:35.076,15104.40956
187.05497,0.81574,-2263.65718,389821.04893,3392632.34443,1.25796,0.00000,10595983.83485,1999-03-08T10:36:26.014,15064.29460
187.06502,0.82268,-2260.22119,389823.86478,3392635.15299,1.24454,0.00000,10625707.09066,2001-01-09T10:50:26.909,15068.54199
187.07501,0.80307,-2241.46247,389768.01361,3392645.34168,1.23722,0.00000,10328051.68323,1999-07-19T12:04:08.416,15023.84811
187.08497,0.82468,-2222.86405,389747.32392,3392666.01497,1.23691,0.00000,10389869.32794,1999-07-19T12:04:06.916,15042.14354
187.09501,0.78290,-2229.48117,389749.01244,3392660.96420,1.23698,0.00000,10584854.72807,1999-09-27T21:16:27.683,15060.45818
187.10501,0.82347,-2229.26238,389784.17993,3392661.69901,1.26245,0.00000,10603010.87516,1999-06-20T05:13:38.201,15069.31589
187.11499,0.73886,-2200.88868,389720.57591,3392692.73651,1.26122,0.00000,10462384.79171,1999-10-07T15:33:21.563,15049.68004
187.12502,0.80868,-2211.94275,389674.87084,3392685.02579,1.25018,0.00000,10334692.92720,1999-06-25T08:36:50.891,15025.02238
187.13501,0.74766,-2203.48401,389692.69203,3392690.02434,1.24475,0.00072,10402882.80164,2000-04-09T01:59:12.982,15041.90297
187.14499,0.71482,-2206.66341,389670.20723,3392687.15989,1.23910,0.01966,10355017.28486,1999-08-22T09:48:24.501,15033.23803
187.15497,0.57047,-2200.06441,389589.24620,3392702.66995,1.24545,0.01675,10186299.32090,1999-04-11T08:24:59.805,15013.76584
187.16499,0.50833,-2184.31180,389570.87092,3392714.53392,1.26237,0.00660,10431903.80040,1999-03-01T05:59:53.128,15041.94833
187.17498,0.52198,-2180.44762,389547.90606,3392717.02425,1.25608,0.00762,10454978.97894,1999-03-01T05:59:51.628,15046.11280
187.18499,0.53825,-2176.72469,389570.01557,3392723.84929,1.25482,0.00655,10504025.37787,2000-04-09T01:59:05.482,15052.74081
187.19501,0.48332,-2165.57244,389505.92356,3392740.56044,1.23994,0.00000,10674944.98474,2000-05-29T22:35:48.416,15076.53914
187.20501,0.44605,-2150.41649,389470.17317,3392754.66202,1.25570,0.00000,10661464.39672,1999-07-19T12:03:48.815,15077.16777
187.21499,0.38248,-2149.40988,389470.60050,3392755.57730,1.23823,0.00000,10785817.16415,1999-03-08T10:36:02.513,15092.46297
187.22501,0.47929,-2163.83437,389571.56924,3392742.41217,1.23585,0.00000,11041368.14340,2000-03-23T03:06:23.833,15128.58525
187.23497,0.54627,-2163.52821,389624.85654,3392743.61908,1.24059,0.00000,11098592.75546,1999-09-10T22:22:52.501,15138.80959
187.24498,0.41410,-2141.33093,389476.83545,3392768.27438,1.27290,0.00000,10905498.50071,1999-05-27T01:43:39.619,15110.69248
187.25500,0.42561,-2136.90936,389532.68646,3392771.84255,1.24249,0.00000,11059087.11538,1999-10-14T20:08:34.017,15132.79607
187.26502,0.49436,-2137.43994,389591.05255,3392762.72921,1.25351,0.00000,10879428.16758,2000-11-12T21:52:54.110,15101.47931
187.27499,0.63674,-2175.76985,389602.33420,3392731.30238,1.26177,0.00000,10562010.25061,2000-04-13T16:52:17.503,15056.20949
187.28501,0.56656,-2163.02442,389583.95664,3392745.66631,1.26833,0.00000,10590894.46141,2000-12-04T11:43:34.913,15063.04875
187.29500,0.48227,-2161.01609,389550.89845,3392747.79575,1.26503,0.00000,10600993.13470,2001-01-06T21:07:13.008,15064.71678
187.30501,0.53271,-2185.61351,389666.47081,3392722.62831,1.25597,0.00000,10603976.23847,1999-07-19T12:03:33.715,15067.77313
187.31501,0.52366,-2196.63042,389559.51323,3392713.68312,1.24440,0.00000,10611077.86670,1999-08-08T00:36:55.537,15068.78582
187.32498,0.36718,-2174.69684,389492.81908,3392732.26749,1.25503,0.00000,10557547.97654,1999-05-22T10:49:29.060,15058.16219
187.33499,0.42916,-2184.79785,389610.95723,3392720.19355,1.23322,0.00000,10413595.92596,1999-06-03T06:19:33.763,15035.19207
187.34501,0.32996,-2164.21235,389367.46098,3392738.85183,1.23817,0.00000,10226503.53778,1999-10-31T19:01:25.774,15012.01146
187.35502,0.26054,-2167.50293,389435.39543,3392738.03410,1.21812,0.00000,10299474.15501,1999-11-15T04:12:25.799,15024.71514
187.36499,0.38426,-2194.57082,389536.74680,3392715.18286,1.21219,0.00223,10510253.75261,2000-03-01T00:50:54.843,15051.77072
187.37500,0.26187,-2185.49726,389488.77206,3392722.76432,1.23326,0.02244,10701241.89657,1999-07-16T22:22:07.849,15079.71118
187.38502,0.29076,-2186.84024,389403.65045,3392723.82352,1.23597,0.01662,10423371.64915,1999-10-14T20:08:14.416,15043.10303
187.39500,0.33177,-2194.28029,389524.19830,3392715.10146,1.22276,0.01668,10521873.86038,1999-10-07T15:32:39.662,15056.73462
187.40499,0.20705,-2180.11266,389367.95373,3392728.17074,1.20539,0.01441,10314190.22515,2000-01-07T14:32:12.948,15030.68711
187.41501,0.19304,-2160.71980,389398.97137,3392734.04066,1.21143,0.01649,10306664.48579,1999-05-27T01:43:14.219,15021.14841
